Name,DOE Criticality Rating Tier,Business Unit
PP - Principal Approval ,2 - Business Essential,Finance & Product Eng
PP - Request for Verification Form ,2 - Business Essential,Finance & Product Eng
PP - Salary Differential Step Process ,2 - Business Essential,Finance & Product Eng
PP - Salary Upgrade ,2 - Business Essential,Finance & Product Eng
PP - Saving Bonds Web ,2 - Business Essential,Finance & Product Eng
PP - School Food ,2 - Business Essential,Finance & Product Eng
PP - Training Session ,2 - Business Essential,Finance & Product Eng
PP - Transit Card Web ,2 - Business Essential,Finance & Product Eng
PP - Vendor (Payables) Interactive Voice Response ,2 - Business Essential,Finance & Product Eng
PP - W2 Correction/Duplicate Form ,2 - Business Essential,Finance & Product Eng
PP - Wage Works ,2 - Business Essential,Finance & Product Eng
PP - Workers Compensation ,2 - Business Essential,Finance & Product Eng
PreKIDS ,3 - Business Support,Finance & Product Eng
Puppet ,3 - Business Support,Finance & Product Eng
Recent Contract and Grant Activity (RCGA) ,3 - Business Support,Finance & Product Eng
RTS ActivitiesService (API) ,3 - Business Support,Finance & Product Eng
RTS Portal ,3 - Business Support,Finance & Product Eng
RTS PublicPortal (API) ,3 - Business Support,Finance & Product Eng
RTSIntake ,3 - Business Support,Finance & Product Eng
RTSIntake-dece ,3 - Business Support,Finance & Product Eng
Salesforce ,3 - Business Support,Finance & Product Eng
Samsung MagicInfo ,4 - Business Preferred,Finance & Product Eng
SAS System ,3 - Business Support,Finance & Product Eng
School Allocations Memorandums ,3 - Business Support,Finance & Product Eng
School Allocations Memorandums (SAM) ,3 - Business Support,Finance & Product Eng
School Allocations Memorandums (SAM) ,3 - Business Support,Finance & Product Eng
School Search ,3 - Business Support,Finance & Product Eng
SESIS Role Viewer Tool (SRVT) ,4 - Business Preferred,Finance & Product Eng
Smart Schools Bond Act  (SSBA) ,3 - Business Support,Finance & Product Eng
Smart Schools Bond Act (SSBA) ,3 - Business Support,Finance & Product Eng
SolarWinds ,3 - Business Support,Finance & Product Eng
Special Education Teacher Support Services - Impartial Hearing System ,3 - Business Support,Finance & Product Eng
Speech Language Pathologists ,3 - Business Support,Finance & Product Eng
SQL Server Integration Services (SSIS) ,2 - Business Essential,Finance & Product Eng
SSRS reporting ,2 - Business Essential,Finance & Product Eng
State Level 2 Reports (L2RPT) ,4 - Business Preferred,Finance & Product Eng
Support Hub ,2 - Business Essential,Finance & Product Eng
TAO Assessment Platform (TAO) ,3 - Business Support,Finance & Product Eng
Teachers Choice Reimbursement ,3 - Business Support,Finance & Product Eng
Teachers Choice Reimbursement ,3 - Business Support,Finance & Product Eng
TM1 10.1 ,1 - Business Critical,Finance & Product Eng
TM1 10.2 ,1 - Business Critical,Finance & Product Eng
Vendor Portal ,3 - Business Support,Finance & Product Eng
vmWare ,3 - Business Support,Finance & Product Eng
VP - Account Administrator ,3 - Business Support,Finance & Product Eng
VP - ARRA ,3 - Business Support,Finance & Product Eng
VP - Bid Download for DCP Admin ,3 - Business Support,Finance & Product Eng
VP - CAFS Report ,3 - Business Support,Finance & Product Eng
VP - CAFS Upload ,3 - Business Support,Finance & Product Eng
VP - Catalog Management Tool (VPCMT) ,3 - Business Support,Finance & Product Eng
VP - Impartial Hearing Invoicing ,3 - Business Support,Finance & Product Eng
VP - Multiple Task Award Contract ,3 - Business Support,Finance & Product Eng
VP - Nursing Services for DOH ,3 - Business Support,Finance & Product Eng
VP - PO Order Download ,3 - Business Support,Finance & Product Eng
VP - Promotional Pricing ,3 - Business Support,Finance & Product Eng
VP - Related Service Invoice ,3 - Business Support,Finance & Product Eng
VP - Shopping Cart ,3 - Business Support,Finance & Product Eng
VP - Universal Pre- Kindergarten ,3 - Business Support,Finance & Product Eng
VP - Universal Pre- Kindergarten Elec. Trans. Invoicing ,3 - Business Support,Finance & Product Eng
VP - User Profile ,3 - Business Support,Finance & Product Eng
VP - UWBS ,3 - Business Support,Finance & Product Eng
VP - Vendor Web Inquiry (For Vendors) ,3 - Business Support,Finance & Product Eng
Web Log Analizer ,3 - Business Support,Finance & Product Eng
Windows Admin Center ,3 - Business Support,Finance & Product Eng
Advance ,3 - Business Support,Human Capital
AP Title Changes (HRProfiles) ,3 - Business Support,Human Capital
Applicant Gateway ,3 - Business Support,Human Capital
Applicant Gateway - Internet ,3 - Business Support,Human Capital
Applicant Gateway - Internet (AGWAY) ,3 - Business Support,Human Capital
Applicant Gateway - Intranet (AGWAY) ,3 - Business Support,Human Capital
Aware Fingerprinting System (Aware) ,3 - Business Support,Human Capital
Background Investigator Tool ,3 - Business Support,Human Capital
Blackboard Learn ,3 - Business Support,Human Capital
Day Scoring ELA/MATH (PSSAT) ,3 - Business Support,Human Capital
Day Scoring Regents ,3 - Business Support,Human Capital
DPP Hiring ,3 - Business Support,Human Capital
EDTrainingCenter ,3 - Business Support,Human Capital
ELA/MATH Per Session - Applicant Portal (ELAMATH) ,3 - Business Support,Human Capital
ELA/MATH Per Session ,3 - Business Support,Human Capital
ELA/MATH Per Session - Hiring Portal (ELAMATH) ,3 - Business Support,Human Capital
Embark ,3 - Business Support,Human Capital
Employment Verification System (EVP) ,3 - Business Support,Human Capital
Equal Opportunity Information System (EOIS) ,3 - Business Support,Human Capital
FluidReview (Survey Monkey Apply) ,3 - Business Support,Human Capital
Gallup Access Platform ,3 - Business Support,Human Capital
Gifted and Talented ,3 - Business Support,Human Capital
Gifted and Talented Nominations ,3 - Business Support,Human Capital
High Objective Uniform State Standard of Evaluation (HOUSSE) ,3 - Business Support,Human Capital
HR Hub ,3 - Business Support,Human Capital
Human Capital Profiles System (HRCS) ,3 - Business Support,Human Capital
Human Capital Profiles/Tenure Notification System/AP Title Changes/Background Investigator Tool,3 - Business Support,Human Capital
IdentiSys SpIDer ,3 - Business Support,Human Capital
Leadership Pathway System (LPS) ,3 - Business Support,Human Capital
MasterTrak ,3 - Business Support,Human Capital
Mentor Tracking System (MTS NTIMS) ,3 - Business Support,Human Capital
Office of Equal Opportunity (OEO) ,3 - Business Support,Human Capital
Open Market Tracking System(OMT) -Internet ,3 - Business Support,Human Capital
Open Market Transfer System/Excessed Staff Selection System (OMT/ESSS) Internet ,3 - Business Support,Human Capital
Open Market Transfer System/Excessed Staff Selection System (OMT/ESSS) Intranet ,3 - Business Support,Human Capital
OpenHire ,3 - Business Support,Human Capital
Oracle Service Cloud ,3 - Business Support,Human Capital
Personnel Eligibility Tracking System (PETS) ,3 - Business Support,Human Capital
Principal Performance Review (PPR) ,3 - Business Support,Human Capital
QM ,3 - Business Support,Human Capital
Reasonable Assurance Acknowledgement (RA) ,3 - Business Support,Human Capital
Regents - Appeals Tracking ,3 - Business Support,Human Capital
Regents Per Session - Applicant Portal (Regents) ,3 - Business Support,Human Capital
Regents Per Session ,3 - Business Support,Human Capital
Regents Per Session - Hiring Portal (Regents) ,3 - Business Support,Human Capital
Salary Application ,3 - Business Support,Human Capital
Self-Service Online Leaves Application System (Back Office) (SOLAS) ,3 - Business Support,Human Capital
Self-Service Online Leaves Application System (Employee Facing) (SOLAS) ,3 - Business Support,Human Capital
Seniority Reports ,3 - Business Support,Human Capital
SHM: Bypass Nomination (Nomination Management) (SHM) ,3 - Business Support,Human Capital
SHM: Event Scheduling (administration) (SHM) ,3 - Business Support,Human Capital
SHM: Event Scheduling for F/T Paraprofessionals ,3 - Business Support,Human Capital
SHM: Event Scheduling for F/T Paraprofessionals ,3 - Business Support,Human Capital
SHM: New Hire reports (SHM) ,3 - Business Support,Human Capital
SHM: Notification Management (SHM) ,3 - Business Support,Human Capital
SHM: Para Continued Employment Eligibility (Para CEE) ,3 - Business Support,Human Capital
SHM: Rosters (SHM) ,3 - Business Support,Human Capital
SHM: SHM Tools (SHM) ,3 - Business Support,Human Capital
SHM: Staffing Hub Monitor (SHM) ,3 - Business Support,Human Capital
SHM: Substitute Renewal (Sub renewal) (SHM) ,3 - Business Support,Human Capital
Siebel ,3 - Business Support,Human Capital
Staff Data Management (SDM) ,3 - Business Support,Human Capital
Sub Central/Smart Find Express ,3 - Business Support,Human Capital
Summer School ,3 - Business Support,Human Capital
Summer School - Summer In the City Applicant Tool (SITC) ,3 - Business Support,Human Capital
Summer School - Summer In the City Selection Tool (SITC Selection Tool) ,3 - Business Support,Human Capital
Talent Profile (TPR) ,4 - Business Preferred,Human Capital
Teacher Hiring Support Center ,3 - Business Support,Human Capital
Teachers Support Network (TSN) ,3 - Business Support,Human Capital
Tenure Notification System (TNS) ,3 - Business Support,Human Capital
TT2 - NYC Teaching Collaborative (TNTP),3 - Business Support,Human Capital
TT2 - Teaching Fellows (TNTP),3 - Business Support,Human Capital
TT2 (TNTP) ,3 - Business Support,Human Capital
WeTeachNYC ,3 - Business Support,Human Capital
Workforce Management system (WFM) ,3 - Business Support,Human Capital
ABACUS ,3 - Business Support,IET
Action Plan ,3 - Business Support,IET
Admin.nycenet.edu,3 - Business Support,IET
AMP ,3 - Business Support,IET
analytics,3 - Business Support,IET
API Connect ,3 - Business Support,IET
API Portal Signup ,3 - Business Support,IET
ats FTP,3 - Business Support,IET
Attendance ,1 - Business Critical,IET
Azure DevOps (IET) ,3 - Business Support,IET
Backup Server for OSSS MT Prod Server ,3 - Business Support,IET
BCO Unified Professional Learning System (UP Learning) ,3 - Business Support,IET
Biztalk ,3 - Business Support,IET
Champs ,3 - Business Support,IET
Champs Manager ,3 - Business Support,IET
Cognos (IET App) ,1 - Business Critical,IET
COGNOS BI 10 ,1 - Business Critical,IET
COGNOS CA 11,1 - Business Critical,IET
Content Matrix ,3 - Business Support,IET
Cybershift ,0 - Tier 0,IET
DataCore ,3 - Business Support,IET
DB2 Gateway Servers ,3 - Business Support,IET
Development Servers ,3 - Business Support,IET
Dynatrace ,0 - Tier 0,IET
EDI Integration with External Vendors (NonProd Testing Only),3 - Business Support,IET
Enterprise Service Bus (ESB) ,1 - Business Critical,IET
Event Manager ,3 - Business Support,IET
External User Portal (EUP) ,3 - Business Support,IET
File Share Servers ,3 - Business Support,IET
FileMaker Pro ,0 - Tier 0,IET
FTP Server,3 - Business Support,IET
G Suite Migration ,3 - Business Support,IET
GAMA ,1 - Business Critical,IET
Gradebook ,1 - Business Critical,IET
Gsuite Admin ,3 - Business Support,IET
HP Application Lifecycle Management (ALM) (HPQC) ,4 - Business Preferred,IET
https://apps.schools.nyc ,3 - Business Support,IET
https://ws.nycboe.net ,3 - Business Support,IET
https://ws.nycenet.edu ,3 - Business Support,IET
https://wsfp.nycboe.net ,3 - Business Support,IET
IBM Priviledged Identity Access Management (IPAM) ,1 - Business Critical,IET
IBM Security Access Manager (ISAM) ,1 - Business Critical,IET
IBM Security Identity Manager (IDM) ,1 - Business Critical,IET
IBM Role Base Access Control (RBAC) ,1 - Business Critical,IET
IBM Tivoli Identity Manager (ISIM) ,1 - Business Critical,IET
IBM Priviledged Identity Management - Access Management (PIMPAM) ,1 - Business Critical,IET
Install Shield ,3 - Business Support,IET
Intranet OSSS ,3 - Business Support,IET
iPlan Portal ,3 - Business Support,IET
IQ ,3 - Business Support,IET
ISIM 7 ,1 - Business Critical,IET
ITSD Projects DashBoard ,3 - Business Support,IET
LMS Admin ,1 - Business Critical,IET
Load Runner ,3 - Business Support,IET
Managment Servers ,4 - Business Preferred,IET
Middleware (Windows Service) Servers ,3 - Business Support,IET
MongoDB ,3 - Business Support,IET
Moodle (E-think/Moodle) ,3 - Business Support,IET
NRTS ,3 - Business Support,IET
NYC Fitness Gram ,3 - Business Support,IET
NYCFG Student Report ,3 - Business Support,IET
Octopus Deploy ,3 - Business Support,IET
On Prem Gateway ,3 - Business Support,IET
Pending New Web Infrastructure,3 - Business Support,IET
Plunet ,3 - Business Support,IET
Principals Portal ,3 - Business Support,IET
Redis Enterprise ,3 - Business Support,IET
Redis Enterprise ,3 - Business Support,IET
Repository Server For Postgres ,3 - Business Support,IET
Role Based Access Control (RBAC) ,1 - Business Critical,IET
School Wellness Hub ,3 - Business Support,IET
SchoolCNXT Vendor (FACE CNXT) ,3 - Business Support,IET
Schoolfinder ,2 - Business Essential,IET
SDL Trados ,3 - Business Support,IET
Sharepoint ,3 - Business Support,IET
Sharepoint ,3 - Business Support,IET
Sharepoint - Project Server,3 - Business Support,IET
SSR Reports (SSRS) 2 ,2 - Business Essential,IET
SSRS reporting (Compliance?) denn,2 - Business Essential,IET
Stress Testing Node Servers ,3 - Business Support,IET
Student Enrollment Management System (SEMS) ,3 - Business Support,IET
Student Information Repository System (SIRS Level 1) ,3 - Business Support,IET
Tableau ,4 - Business Preferred,IET
Teach Hub ,1 - Business Critical,IET
TeachHub.schools.nyc ,1 - Business Critical,IET
TFS (IET) ,3 - Business Support,IET
Trados Translation App ,3 - Business Support,IET
UX ,3 - Business Support,IET
Visual Source Save ,3 - Business Support,IET
Visual SVN ,3 - Business Support,IET
WESTKM ,3 - Business Support,IET
wiki.nycenet.edu,3 - Business Support,IET
Mitel Teleworker ,3 - Business Support,IET / Office of Telecommunications
Growth Explorer (GE) ,3 - Business Support,Office of Policy and Evaluation
Insight ,4 - Business Preferred,Office of Policy and Evaluation
Nyc School Survey Online Platform ,4 - Business Preferred,Office of Policy and Evaluation
Overall Rating Report (ORR) ,3 - Business Support,Office of Policy and Evaluation
Receivership Reports ,4 - Business Preferred,Office of Policy and Evaluation
School Performance Dashboard ,4 - Business Preferred,Office of Policy and Evaluation
School Quality Guide ,4 - Business Preferred,Office of Policy and Evaluation
School Quality Report Student Level Workbooks ,4 - Business Preferred,Office of Policy and Evaluation
School Quality Snapshot ,4 - Business Preferred,Office of Policy and Evaluation
State Accountability Resource Tool (StART) ,3 - Business Support,Office of Policy and Evaluation
Student Perception Survey Online Platform ,3 - Business Support,Office of Policy and Evaluation
Student Perception Survey Results ,3 - Business Support,Office of Policy and Evaluation
APRL - Cybershift Interface ,4 - Business Preferred,Payroll & Accounting
APRL - Nurses & Therapists ,4 - Business Preferred,Payroll & Accounting
APRL - Quality of Work Life ,4 - Business Preferred,Payroll & Accounting
APRL - Salary Forecasting ,4 - Business Preferred,Payroll & Accounting
APRL - Summer pay Nurses & Therapists ,4 - Business Preferred,Payroll & Accounting
Custodial Payroll System - Back end Payment processing Salary and School Allocation (CPS) ,3 - Business Support,Payroll & Accounting
Cybershift - Time & Attendance ,0 - Tier 0,Payroll & Accounting
EI Portal ,3 - Business Support,Payroll & Accounting
EIS - Payroll ,3 - Business Support,Payroll & Accounting
EIS - Portal ,3 - Business Support,Payroll & Accounting
EIS - Rating ,4 - Business Preferred,Payroll & Accounting
EIS - Supplementary Payroll ,4 - Business Preferred,Payroll & Accounting
EIS - Teachers/Para - Hourly ,3 - Business Support,Payroll & Accounting
Employee Information System (EIS) ,3 - Business Support,Payroll & Accounting
PD/PS - Bulk Job Reporting ,4 - Business Preferred,Payroll & Accounting
PD/PS - Check Cancellation ,4 - Business Preferred,Payroll & Accounting
PD/PS - Per-Diem Status ,4 - Business Preferred,Payroll & Accounting
PD/PS - Public Schools Athletic League - Transaction Reporting ,4 - Business Preferred,Payroll & Accounting
PD/PS - Retro Payments ,4 - Business Preferred,Payroll & Accounting
PD/PS - Service History Reporting ,4 - Business Preferred,Payroll & Accounting
Per Diem/Per-Session (PD/PS) ,3 - Business Support,Payroll & Accounting
Per Session Waivers (PSWaivers) ,4 - Business Preferred,Payroll & Accounting
PSWaivers ,3 - Business Support,Payroll & Accounting
System to Track and Account for Children (STAC) ,3 - Business Support,Payroll & Accounting
Teachers of Tomorrow ,3 - Business Support,Payroll & Accounting
Assyst Eligibility Integration ,4 - Business Preferred,School Food
Back of the House ,4 - Business Preferred,School Food
BI Reports ,4 - Business Preferred,School Food
CafeteriaPlus ,2 - Business Essential,School Food
Cash Management System ,4 - Business Preferred,School Food
Claims Reports ,4 - Business Preferred,School Food
Compliance Auditing Reporting System ,4 - Business Preferred,School Food
DOE Working from Home ,3 - Business Support,School Food
DOH Claims System ,4 - Business Preferred,School Food
DOH Upload Report ,3 - Business Support,School Food
DOH Upload System ,4 - Business Preferred,School Food
DOH Violation System ,3 - Business Support,School Food
Electronic Report Submission System ,4 - Business Preferred,School Food
Family Income Inquiry System ,4 - Business Preferred,School Food
Integrated Pest Management System ,3 - Business Support,School Food
Meal Claim/Cost Report System ,4 - Business Preferred,School Food
National School Lunch Program/Summer File System ,4 - Business Preferred,School Food
OFNS Calendar ,4 - Business Preferred,School Food
OFNS Data Lake ,4 - Business Preferred,School Food
OFNS Incident Reporting ,4 - Business Preferred,School Food
OFNS Occurrence ,4 - Business Preferred,School Food
OFNS Web Search (Menu CMS Summer search) ,4 - Business Preferred,School Food
OFNS Weekly Communications ,4 - Business Preferred,School Food
OSSS Web/SQL Request Upload System ,4 - Business Preferred,School Food
Parent/Guardian Refund Portal ,3 - Business Support,School Food
Parent/Guardian Refund Portal  (B),3 - Business Support,School Food
Point of Sale System ,4 - Business Preferred,School Food
POS/CafeteriaPlus/Breakfast In The Classroom To SOFA Feed ,4 - Business Preferred,School Food
Product Compliance ,3 - Business Support,School Food
Receipt Agency Automation System ,4 - Business Preferred,School Food
Request Tracking System ,4 - Business Preferred,School Food
School Food Online Forms Application (SOFA) ,4 - Business Preferred,School Food
School Information System ,4 - Business Preferred,School Food
School/Teacher's Form ,4 - Business Preferred,School Food
SchoolFood Equipment System ,4 - Business Preferred,School Food
SchoolFood Operations Update System ,4 - Business Preferred,School Food
Schools Open/Closed for Meal Entry ,4 - Business Preferred,School Food
SCM Call Recording System ,4 - Business Preferred,School Food
SED Claims - Web System ,4 - Business Preferred,School Food
SF Breakfast in the Classroom Meal System ,3 - Business Support,School Food
SF Metrics ,4 - Business Preferred,School Food
SF Mobile App ,3 - Business Support,School Food
SF Ordering System ,3 - Business Support,School Food
SF2 Cash Collection ,3 - Business Support,School Food
SF3 Reports ,3 - Business Support,School Food
Single Sign-on Web Portal ,3 - Business Support,School Food
Snacks & Beverages System ,3 - Business Support,School Food
Special Events System ,3 - Business Support,School Food
Special Programs System ,3 - Business Support,School Food
SSR Reports (SSRS) ,3 - Business Support,School Food
SSR Reports (SSRS) ,2 - Business Essential,School Food
Staffing System ,3 - Business Support,School Food
Summer 311 Reporting System ,3 - Business Support,School Food
Summer Apprentice (workers) ,4 - Business Preferred,School Food
Summer Meal Application ,3 - Business Support,School Food
Teachers and Aides Forms ,3 - Business Support,School Food
Teachers and Aides System 1.0 ,4 - Business Preferred,School Food
Vended Programs System ,3 - Business Support,School Food
Warehouse Automation & Modernization (WHAM) ,3 - Business Support,School Food
WebSmaRTT Menu Publishing System ,3 - Business Support,School Food
Cisco IME ips management express,3 - Business Support,Security
Devo Relay ,3 - Business Support,Security
DLP ,0 - Tier 0,Security
Filtering ,4 - Business Preferred,Security
Insight VM Rapid 7 ,0 - Tier 0,Security
Nexpose Scan Engine - Prodution,0 - Tier 0,Security
Symantec End Point Protection ,0 - Tier 0,Security
Xsoar ,0 - Tier 0,Security
Zscaler ,0 - Tier 0,Security
ACS (Abuse & Neglect / Foster Care Data for Department of Homeless Services) ,3 - Business Support,SIS
Automate The Schools (ATS) ,3 - Business Support,SIS
Basic Educational Data System (BEDS) ,3 - Business Support,SIS
Career & Technical Education Application (CTE) ,3 - Business Support,SIS
Decision Support System (DSS) ,3 - Business Support,SIS
ELL Transfer ,3 - Business Support,SIS
Gifts Grants ,3 - Business Support,SIS
MySchools ,1 - Business Critical,SIS
New Visions for Public Schools (NV) ,3 - Business Support,SIS
No Child Left Behind (NCLB) ,3 - Business Support,SIS
Non Public School Information System (NPSIS) ,3 - Business Support,SIS
NPSIS ,3 - Business Support,SIS
NPSIS Admin site ,3 - Business Support,SIS
NPSIS Transportation Web System ,3 - Business Support,SIS
Periodic Assessment Selection Tool (PAST) ,4 - Business Preferred,SIS
Pre-K Playground ,3 - Business Support,SIS
Register Projection System (RPS) ,3 - Business Support,SIS
SIS Reports ,3 - Business Support,SIS
STARS Admin ,3 - Business Support,SIS
STARS Classroom ,2 - Business Essential,SIS
STARS Client ,3 - Business Support,SIS
Student Documents ,3 - Business Support,SIS
Student Information System (SIS) ,3 - Business Support,SIS
10 Day Notice (TDN) ,4 - Business Preferred,Special Education
Agency Transmittal ,1 - Business Critical,Special Education
CAP Access ,4 - Business Preferred,Special Education
CAP Calendar ,3 - Business Support,Special Education
Child Assistance Program (CAP) ,3 - Business Support,Special Education
FTP Repository (ES00vINTFTP01) ,3 - Business Support,Special Education
GigaTrack ,3 - Business Support,Special Education
IEP Translation ,3 - Business Support,Special Education
Impartial Hearing System (IHS) ,3 - Business Support,Special Education
Pre School Special Education Record Management System (CCP) ,4 - Business Preferred,Special Education
Preschool Special Education Encounter Tracking (PSEET) ,4 - Business Preferred,Special Education
Provider Assignment (PA) ,1 - Business Critical,Special Education
Special Education Document Management System (SEDMS) ,3 - Business Support,Special Education
Special Education Student Information System (SESIS) ,1 - Business Critical,Special Education
Accident System ,2 - Business Essential,Transportation
After School Transportation ,3 - Business Support,Transportation
ARC GIS ,1 - Business Critical,Transportation
ARC GIS (CTO) ,0 - Tier 0,Transportation
ATS Attendance ,3 - Business Support,Transportation
Attendant Wage Accrual ,3 - Business Support,Transportation
BI Report ,3 - Business Support,Transportation
Bus Route Status System ,3 - Business Support,Transportation
Bus Stop Request System (OPT 199) ,3 - Business Support,Transportation
Bus Strike Disruption ,3 - Business Support,Transportation
Daily Metrics Report ,3 - Business Support,Transportation
Daily Route Snapshot ,3 - Business Support,Transportation
Distance Check Widget (Consumed By The Exception [Variance] Application) ,3 - Business Support,Transportation
DMV Lens Batch Console System ,3 - Business Support,Transportation
DOE School Session Time Application ,3 - Business Support,Transportation
Driver and Attendant System ,3 - Business Support,Transportation
Driver Escort Search - SSN display ,3 - Business Support,Transportation
Edulog - GE Routing System ,2 - Business Essential,Transportation
Emergency Contact Information System ,3 - Business Support,Transportation
Exception Application ,3 - Business Support,Transportation
Field Trips ,3 - Business Support,Transportation
Field Trips Summer ,3 - Business Support,Transportation
Foster Call ,3 - Business Support,Transportation
Gen Ed Routing (Gened I) ,2 - Business Essential,Transportation
Integrated Route View System ,3 - Business Support,Transportation
Inventory System ,3 - Business Support,Transportation
Map Portal 2.0 ,3 - Business Support,Transportation
Map Portal Summer ,3 - Business Support,Transportation
Non-Public Schools Calendar System /PreKEISitesCalendar ,3 - Business Support,Transportation
Non-Public Summer School & Fall Reconciliation System ,3 - Business Support,Transportation
OPT Call Recording System ,3 - Business Support,Transportation
OPT Contracts System ,3 - Business Support,Transportation
OPT Finance System ,3 - Business Support,Transportation
OPT Information for Bus Companies (Letters Memos) ,3 - Business Support,Transportation
OPT Inspection Application ,3 - Business Support,Transportation
OPT Metrics ,3 - Business Support,Transportation
OPT School Information System ,3 - Business Support,Transportation
OPT Vehicle Inspection Reports ,3 - Business Support,Transportation
Pick Process ,3 - Business Support,Transportation
Pre-K Contract System ,3 - Business Support,Transportation
Pre-K/EI Rider ,3 - Business Support,Transportation
Pre-K/EI Rider Summer ,3 - Business Support,Transportation
Problem Runs Reported System ,3 - Business Support,Transportation
Project Read Entry ,3 - Business Support,Transportation
Project Read Finance ,3 - Business Support,Transportation
Public school session time system ,3 - Business Support,Transportation
School and Student Transportation Search System (SchoolRouteStSearch) ,3 - Business Support,Transportation
School Bus Delays and Breakdowns ,3 - Business Support,Transportation
School Bus Violations ,3 - Business Support,Transportation
School Ridership System ,3 - Business Support,Transportation
School Visit Application ,3 - Business Support,Transportation
SE_GE_StudentInfo Report Generator ,3 - Business Support,Transportation
SessionTime Console ,3 - Business Support,Transportation
SessionTime Poster Console Application ,3 - Business Support,Transportation
Special Education Pupil Data Entry ,3 - Business Support,Transportation
Special Education Ridership System ,3 - Business Support,Transportation
Special Education Routing FoxPro System ,3 - Business Support,Transportation
Special Handling Email Notification System ,3 - Business Support,Transportation
STSendUserPass ,3 - Business Support,Transportation
Student Data Validation ,3 - Business Support,Transportation
Students in Temporary Housing (STH) Call Management System ,2 - Business Essential,Transportation
Ticketing System ,3 - Business Support,Transportation
Transportation (After 4 PM) Reimbursement System/Return Trip Reimbursements Authorization Tracking System ,3 - Business Support,Transportation
Transportation Eligibility Determination System (TED) ,3 - Business Support,Transportation
Transportation Service Request System ,3 - Business Support,Transportation
Vehicle System ,3 - Business Support,Transportation
Vendor Information System ,3 - Business Support,Transportation
Vendor Integration System ,3 - Business Support,Transportation
Violation Images Video ,3 - Business Support,Transportation
Web Service Route Validation ,3 - Business Support,Transportation
Test Application ,4 - Business Preferred,Testing
